Product,Type,Release Date,Process Size (nm),TDP (W),DieSizeValue,Die Size (mm^2),Transistors (million),Freq (GHz),Foundry,Vendor
Intel Core i5-3335S,CPU,2012-11-01,22.0,65.0,160.0,160,1480.0,2700.0,Intel,Intel
Intel Core i7-3525M,CPU,2012-11-01,22.0,35.0,160.0,160,1480.0,2900.0,Intel,Intel
Intel Core i7-3630QM,CPU,2012-09-30,22.0,45.0,160.0,160,1480.0,2400.0,Intel,Intel
Intel Core i7-3632QM,CPU,2012-10-19,22.0,35.0,160.0,160,1480.0,2200.0,Intel,Intel
Intel Core i7-3632QM,CPU,2012-10-19,22.0,35.0,160.0,160,1480.0,2200.0,Intel,Intel
Intel Core i7-3635QM,CPU,2012-09-01,22.0,45.0,160.0,160,1480.0,2400.0,Intel,Intel
Intel Core i7-3740QM,CPU,2012-09-03,22.0,45.0,160.0,160,1400.0,2700.0,Intel,Intel
Intel Core i7-3740QM,CPU,2012-09-03,22.0,45.0,160.0,160,1400.0,2700.0,Intel,Intel
Intel Core i7-3840QM,CPU,2012-09-03,22.0,45.0,160.0,160,1400.0,2800.0,Intel,Intel
Intel Core i7-3840QM,CPU,2012-09-03,22.0,45.0,160.0,160,1400.0,2800.0,Intel,Intel
Intel Core i7-3940XM,CPU,2012-09-03,22.0,55.0,160.0,160,1400.0,3000.0,Intel,Intel
Intel Pentium 2020M,CPU,2012-09-01,22.0,35.0,118.0,118,1400.0,2400.0,Intel,Intel
Intel Pentium 2117U,CPU,2012-09-01,22.0,17.0,118.0,118,1400.0,1800.0,Intel,Intel
Intel Pentium 2117U,CPU,2012-09-01,22.0,17.0,118.0,118,1400.0,1800.0,Intel,Intel
Intel Pentium 2129Y,CPU,2012-09-01,22.0,10.0,118.0,118,1400.0,1100.0,Intel,Intel
Intel Xeon Phi 3110X,CPU,2012-11-12,22.0,300.0,350.0,350,5000.0,1053.0,Intel,Intel
Intel Xeon Phi 5110P,CPU,2012-11-12,22.0,225.0,350.0,350,5000.0,1053.0,Intel,Intel
Intel Xeon Phi 7110P,CPU,2012-11-12,22.0,300.0,350.0,350,5000.0,1250.0,Intel,Intel
Intel Xeon Phi 7110X,CPU,2012-11-12,22.0,300.0,350.0,350,5000.0,1250.0,Intel,Intel
Intel Xeon Phi SE10P,CPU,2012-11-12,22.0,300.0,350.0,350,5000.0,1100.0,Intel,Intel
Intel Xeon Phi SE10X,CPU,2012-11-12,22.0,300.0,350.0,350,5000.0,1100.0,Intel,Intel
Intel Celeron 2950M,CPU,2013-09-01,22.0,37.0,118.0,118,1400.0,2000.0,Intel,Intel
Intel Celeron 2950M,CPU,2013-09-01,22.0,37.0,118.0,118,1400.0,2000.0,Intel,Intel
Intel Celeron 2955U,CPU,2013-09-01,22.0,15.0,118.0,118,1400.0,1400.0,Intel,Intel
Intel Celeron 2955U,CPU,2013-09-01,22.0,15.0,118.0,118,1400.0,1400.0,Intel,Intel
Intel Celeron 2961Y,CPU,2013-12-01,22.0,12.0,118.0,118,1400.0,1100.0,Intel,Intel
Intel Celeron 2980U,CPU,2013-09-01,22.0,15.0,118.0,118,1400.0,1600.0,Intel,Intel
Intel Celeron G1820,CPU,2013-12-01,22.0,54.0,177.0,177,1400.0,2700.0,Intel,Intel
Intel Celeron G1820T,CPU,2013-12-01,22.0,54.0,177.0,177,1400.0,2400.0,Intel,Intel
Intel Celeron G1820TE,CPU,2013-12-01,22.0,54.0,177.0,177,1400.0,2200.0,Intel,Intel
Intel Celeron G1830,CPU,2013-12-01,22.0,54.0,177.0,177,1400.0,2800.0,Intel,Intel
Intel Core i3-4000M,CPU,2013-09-04,22.0,37.0,118.0,118,1400.0,2400.0,Intel,Intel
Intel Core i3-4005U,CPU,2013-09-04,22.0,15.0,118.0,118,1400.0,1700.0,Intel,Intel
Intel Core i3-4100E,CPU,2013-09-04,22.0,37.0,118.0,118,1400.0,2400.0,Intel,Intel
Intel Core i3-4102E,CPU,2013-09-04,22.0,25.0,118.0,118,1400.0,1600.0,Intel,Intel
Intel Core i3-4130,CPU,2013-09-01,22.0,54.0,177.0,177,1400.0,3400.0,Intel,Intel
Intel Core i3-4130T,CPU,2013-09-01,22.0,35.0,177.0,177,1400.0,2900.0,Intel,Intel
Intel Core i3-4330,CPU,2013-09-01,22.0,54.0,177.0,177,1400.0,3500.0,Intel,Intel
Intel Core i3-4330T,CPU,2013-09-01,22.0,35.0,177.0,177,1400.0,3000.0,Intel,Intel
Intel Core i3-4340,CPU,2013-09-01,22.0,54.0,177.0,177,1400.0,3600.0,Intel,Intel
Intel Core i5-4300M,CPU,2013-09-01,22.0,37.0,118.0,118,1400.0,2600.0,Intel,Intel
Intel Core i5-4330M,CPU,2013-09-01,22.0,37.0,118.0,118,1400.0,2800.0,Intel,Intel
Intel Core i5-4440,CPU,2013-09-01,22.0,84.0,177.0,177,1400.0,3100.0,Intel,Intel
Intel Core i5-4440S,CPU,2013-09-01,22.0,65.0,177.0,177,1400.0,2800.0,Intel,Intel
Intel Core i7-4600M,CPU,2013-09-01,22.0,37.0,131.0,131,960.0,2900.0,Intel,Intel
Intel Core i7-4600U,CPU,2013-09-01,22.0,15.0,118.0,118,1300.0,2100.0,Intel,Intel
Intel Core i7-4771,CPU,2013-09-01,22.0,84.0,177.0,177,1400.0,3500.0,Intel,Intel
Intel Core i7-4820K,CPU,2013-09-01,22.0,130.0,257.0,257,1860.0,3700.0,Intel,Intel
Intel Core i7-4850EQ,CPU,2013-08-29,22.0,47.0,264.0,264,1400.0,1600.0,Intel,Intel
Intel Core i7-4860EQ,CPU,2013-08-29,22.0,47.0,264.0,264,1400.0,1800.0,Intel,Intel
Intel Core i7-4930K,CPU,2013-09-01,22.0,130.0,257.0,257,1860.0,3400.0,Intel,Intel
Intel Core i7-4960HQ,CPU,2013-09-01,22.0,47.0,264.0,264,1400.0,2600.0,Intel,Intel
Intel Core i7-4960X,CPU,2013-09-03,22.0,130.0,257.0,257,1860.0,3600.0,Intel,Intel
Intel Core i7-4980HQ,CPU,2013-09-01,22.0,47.0,264.0,264,1400.0,2800.0,Intel,Intel
Intel Pentium 3550M,CPU,2013-09-01,22.0,37.0,118.0,118,1400.0,2300.0,Intel,Intel
Intel Pentium 3556U,CPU,2013-09-01,22.0,15.0,118.0,118,1400.0,1700.0,Intel,Intel
Intel Pentium 3560Y,CPU,2013-09-01,22.0,12.0,118.0,118,1400.0,1200.0,Intel,Intel
Intel Pentium G3220,CPU,2013-09-01,22.0,54.0,177.0,177,1400.0,3000.0,Intel,Intel
Intel Pentium G3220T,CPU,2013-09-01,22.0,35.0,177.0,177,1400.0,2600.0,Intel,Intel
Intel Pentium G3420,CPU,2013-09-01,22.0,54.0,177.0,177,1400.0,3200.0,Intel,Intel
Intel Pentium G3420T,CPU,2013-09-01,22.0,35.0,177.0,177,1400.0,2700.0,Intel,Intel
Intel Pentium G3430,CPU,2013-09-01,22.0,54.0,177.0,177,1400.0,3300.0,Intel,Intel
Intel Xeon E3-1220L v3,CPU,2013-09-01,22.0,13.0,160.0,160,1400.0,1100.0,Intel,Intel
Intel Xeon E5-1607 v2,CPU,2013-09-10,22.0,130.0,257.0,257,1860.0,3000.0,Intel,Intel
Intel Xeon E5-1620 v2,CPU,2013-09-10,22.0,130.0,257.0,257,1860.0,3700.0,Intel,Intel
Intel Xeon E5-1650 v2,CPU,2013-09-10,22.0,130.0,257.0,257,1860.0,3500.0,Intel,Intel
Intel Xeon E5-1660 v2,CPU,2013-09-10,22.0,130.0,257.0,257,1860.0,3700.0,Intel,Intel
Intel Xeon E5-1680 v2,CPU,2013-09-10,22.0,130.0,341.0,341,2800.0,3000.0,Intel,Intel
Intel Xeon E5-2403 v2,CPU,2013-09-01,22.0,80.0,160.0,160,1400.0,1800.0,Intel,Intel
Intel Xeon E5-2407 v2,CPU,2013-09-01,22.0,80.0,160.0,160,1400.0,2400.0,Intel,Intel
Intel Xeon E5-2420 v2,CPU,2013-09-01,22.0,80.0,160.0,160,1400.0,2200.0,Intel,Intel
Intel Xeon E5-2430 v2,CPU,2013-09-01,22.0,80.0,160.0,160,1400.0,2500.0,Intel,Intel
Intel Xeon E5-2440 v2,CPU,2013-09-01,22.0,95.0,160.0,160,1400.0,1900.0,Intel,Intel
Intel Xeon E5-2450 v2,CPU,2013-09-01,22.0,95.0,160.0,160,1400.0,2500.0,Intel,Intel
Intel Xeon E5-2470 v2,CPU,2013-09-01,22.0,95.0,160.0,160,1400.0,2400.0,Intel,Intel
Intel Xeon E5-2603 v2,CPU,2013-09-01,22.0,80.0,160.0,160,1400.0,1800.0,Intel,Intel
Intel Xeon E5-2609 v2,CPU,2013-09-01,22.0,80.0,160.0,160,1400.0,2500.0,Intel,Intel
Intel Xeon E5-2620 v2,CPU,2013-09-01,22.0,80.0,160.0,160,1400.0,2100.0,Intel,Intel
Intel Xeon E5-2630 v2,CPU,2013-09-01,22.0,80.0,160.0,160,1400.0,2600.0,Intel,Intel
Intel Xeon E5-2630L v2,CPU,2013-09-01,22.0,60.0,160.0,160,1400.0,2400.0,Intel,Intel
Intel Xeon E5-2637 v2,CPU,2013-09-01,22.0,130.0,160.0,160,1400.0,3500.0,Intel,Intel
Intel Xeon E5-2640 v2,CPU,2013-09-01,22.0,95.0,160.0,160,1400.0,2000.0,Intel,Intel
Intel Xeon E5-2643 v2,CPU,2013-09-01,22.0,130.0,160.0,160,1400.0,3500.0,Intel,Intel
Intel Xeon E5-2650 v2,CPU,2013-09-01,22.0,95.0,160.0,160,1400.0,2600.0,Intel,Intel
Intel Xeon E5-2650L v2,CPU,2013-09-01,22.0,70.0,160.0,160,1400.0,1700.0,Intel,Intel
Intel Xeon E5-2660 v2,CPU,2013-09-01,22.0,95.0,160.0,160,1400.0,2200.0,Intel,Intel
Intel Xeon E5-2667 v2,CPU,2013-09-01,22.0,130.0,160.0,160,1400.0,3300.0,Intel,Intel
Intel Xeon E5-2670 v2,CPU,2013-09-01,22.0,115.0,160.0,160,1400.0,2500.0,Intel,Intel
Intel Xeon E5-2680 v2,CPU,2013-09-01,22.0,115.0,160.0,160,1400.0,2800.0,Intel,Intel
Intel Xeon E5-2687W v2,CPU,2013-09-01,22.0,130.0,160.0,160,1400.0,3400.0,Intel,Intel
Intel Xeon E5-2690 v2,CPU,2013-09-01,22.0,130.0,160.0,160,1400.0,3000.0,Intel,Intel
Intel Xeon E5-2692 v2,CPU,2013-09-01,22.0,100.0,160.0,160,1400.0,2200.0,Intel,Intel
Intel Xeon E5-2695 v2,CPU,2013-09-01,22.0,115.0,160.0,160,1400.0,2400.0,Intel,Intel
Intel Xeon E5-2697 v2,CPU,2013-09-01,22.0,130.0,160.0,160,1400.0,2700.0,Intel,Intel
Intel Xeon Phi 3120A,CPU,2013-06-17,22.0,300.0,350.0,350,5000.0,1100.0,Intel,Intel
